"release_date","revenue","title","collection_name","main_genre","release_year","main_genre_name","rank"
"1987-07-17",51881013,"Jaws: The Revenge","The Jaws Collection",2,"1987","Adventure",17
"1987-12-11",57915972,"Throw Momma from the Train","",5,"1987","Crime",14
"1987-04-10",110996879,"The Secret of My Success","",4,"1987","Comedy",7
"1987-06-12",63766510,"The Witches of Eastwick","",9,"1987","Fantasy",13
"1987-06-25",66673516,"Dragnet","",1,"1987","Action",11
"1987-12-18",65088797,"Batteries not Included","",4,"1987","Comedy",12
"1986-12-18",138530565,"Platoon","",7,"1986","Drama",4
"1986-05-16",356830601,"Top Gun","",1,"1986","Action",1
"1986-07-18",183316455,"Aliens","Alien Collection",12,"1986","Horror",3
"1986-08-22",52287414,"Stand by Me","",5,"1986","Crime",17
"1986-11-25",1.33e+08,"Star Trek IV: The Voyage Home","Star Trek",16,"1986","Science Fiction",5
"1986-11-21",84542002,"An American Tail","Fievel Collection",7,"1986","Drama",8
"1986-03-15",54999651,"The Money Pit","",4,"1986","Comedy",15
"1986-03-20",43579163,"Police Academy 3: Back in Training","Police Academy Collection",4,"1986","Comedy",19
"1986-06-13",91258000,"Back to School","",4,"1986","Comedy",7
"1986-06-18",115103979,"The Karate Kid, Part II","The Karate Kid Collection",2,"1986","Adventure",6
"1986-08-15",60629159,"The Fly","The Fly Collection",12,"1986","Horror",14
"1986-06-26",71624879,"Ruthless People","",4,"1986","Comedy",11
"1986-09-24",77200000,"The Name of the Rose","",7,"1986","Drama",10
"1986-09-26",328203506,"Crocodile Dundee","Crocodile Dundee Collection",2,"1986","Adventure",2
"1986-10-07",52293982,"The Color of Money","The Hustler Collection",7,"1986","Drama",16
"1986-12-15",42724017,"Heartbreak Ridge","",1,"1986","Action",20
"1986-12-12",79817939,"The Golden Child","",1,"1986","Action",9
"1986-06-11",70136369,"Ferris Bueller's Day Off","",4,"1986","Comedy",12
"1986-01-31",62134225,"Down and Out in Beverly Hills","",4,"1986","Comedy",13
"1986-03-21",49042224,"Cobra","",1,"1986","Action",18
"1980-05-17",538400000,"The Empire Strikes Back","Star Wars Collection",2,"1980","Adventure",1
"1980-06-17",115229890,"The Blues Brothers","The Blues Brothers Collection",13,"1980","Music",3
"1980-11-14",2.3e+07,"Raging Bull","",7,"1980","Drama",20
"1980-05-22",44017374,"The Shining","",12,"1980","Horror",12
"1980-05-09",59754601,"Friday the 13th","Friday the 13th Collection",12,"1980","Horror",10
"1980-09-10",6e+07,"The Gods Must Be Crazy","The Gods Must Be Crazy Collection",1,"1980","Action",9
"1980-10-02",26010864,"The Elephant Man","",7,"1980","Drama",19
